ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
F-1205,dgl,P-282,béeu,,"to unravel, unwind, disentangle, reconcile",armbruster1965[35]
F-1204,xnz,P-282,béew,,"lösen, erlösen",massenbach1962[151]
F-1201,dgl,P-281,bel,,"auskommen, entstehen, wachsen, reifen",massenbach1962[150]
F-1200,dgl,P-281,bél,,"to issue, emerge, come out; go up (of heavenly bodies)",armbruster1965[32]
F-1208,dgl,P-283,bénti,,date palm and fruit,armbruster1965[33]
F-1941,xnz,P-475,ber,,"Holz, Baum, Kreuz, Tisch",massenbach1962[150]
F-1938,dgl,P-475,bér,,"wood, (tree) trunk, wooden object",armbruster1965[33]
F-1849,dgl,P-431,béri,,side,armbruster1965[34]
F-1850,xnz,P-431,berri,,"Seite, Rippe",massenbach1962[150]
F-2065,dgl,P-468,bérti,,"she-goat, goat",armbruster1965[34]
F-2068,xnz,P-468,bérti,,Ziege (weibl.),massenbach1962[150]
F-2444,fia,P-108,bes,,Schwester,khalil1996a[93]
F-393,dgl,P-108,bes,,brother,armbruster1965[35]
F-394,xnz,P-108,bes,,Bruder,massenbach1962[150]
F-1209,xnz,P-283,betti,,"Dattel, Dattelpalme",massenbach1962[151]
F-1223,dgl,P-287,bilínc(i),,"to sparkle, glitter, gleam",armbruster1965[36]
F-1148,dgl,P-269,bílle,,onion,armbruster1965[36]
F-1150,xnz,P-269,bíllee,,Zwiebel,massenbach1962[151]
F-1969,xnz,P-270,bócci,,"das freie Land, die Außenseite",massenbach1962[152]
F-1970,dgl,P-270,bócci,,"exterior, outside",armbruster1965[37]
F-1232,dgl,P-290,bójo,,"broad, wide",armbruster1965[38]
F-1233,xnz,P-290,bójo,,breit,massenbach1962[152]
F-1966,dgl,P-270,bójo,,"broad, wide",armbruster1965[38]
F-1968,xnz,P-270,bójo,,breit,massenbach1962[152]
F-1241,xnz,P-292,bóog,,"fließen, sich ergießen, schütten",massenbach1962[152]
F-1242,dgl,P-292,bóog,,"to pour, pour out, leak",armbruster1965[38]
F-1435,dgl,P-336,bóww(i),,"to bathe, swim",armbruster1965[40]
F-1434,xnz,P-336,bówwi,,"baden, sich waschen, schwimmen",massenbach1962[153]
F-1432,xnz,P-335,burg,,,
F-1842,dgl,P-429,búuja,,paint,armbruster1965[41]
F-2439,brk,P-108,buz-on-a,,brother,thelwall1977[200]
F-1964,onw,P-400,d(e)iŋ,,"to fight, pre-Nubian?",OND[46]
F-252,onw,P-82,da(r),,"to exist, be",OND[37]
F-254,dgl,P-82,dáa,,"to be present, exist",armbruster1965[43]
F-255,xnz,P-82,dáa,,"sein, Vorhanden sein",massenbach1962[154]
F-251,xnz,P-81,dáar,,"Tenne, Dreschpatz auf dem Felde",massenbach1962[154]
F-1297,xnz,P-305,dab,,"verloren, verschwunden sein",massenbach1962[154]
F-249,xnz,P-80,dab,,"verlore, verschwunden sein",massenbach1962[154]
F-1299,dgl,P-305,dáb,,"to disappear, get lost",armbruster1965[44]
F-248,dgl,P-80,dáb,,"disappear, become lost",armbruster1965[44]
F-1298,xnz,P-305,dáb-ir,,"verlieren, zerstören",massenbach1962[154]
F-1300,fia,P-305,daf,,"vergehen, verschwinden",reinisch1879[23]
F-247,fia,P-80,daf,,,
F-1301,fia,P-305,dáf-ir,,verlieren,reinisch1879[23]
F-2492,fia,P-512,dak,,melken,khalil1996a[36]
F-2491,xnz,P-512,dakki,,melken,massenbach1962[154]
F-1296,onw,P-305,dapp,,to destroy,OND[165]
F-246,onw,P-80,dapp,,to perish,OND[37]
F-250,onw,P-81,dar,,threshing floor,OND[37]
F-253,fia,P-82,dār,,"vorhanden sein, existieren",khalil1996a[38]
F-240,dgl,P-78,"dárib, dárub",,"path, road",armbruster1965[45]
F-241,xnz,P-78,dárub,,"Weg, Straße",massenbach1962[155]
F-236,onw,P-77,dau,,to be together,OND[36]
F-238,onw,P-78,"dau(ei), dauou",,path,OND[36]
F-242,onw,P-79,"dau(ei), dauou",,great,OND[36]
F-237,fia,P-77,"daw, dau",,berürhen,khalil1996a[39]
F-239,fia,P-78,dáw(i),,"Weg, Straße",khalil1996a[40]
F-243,fia,P-79,"dáwi(r), dáwu(r)",,"groß, alt, lang",khalil1996a[40]
F-267,dgl,P-84,déeg,,to irrigate,armbruster1965[47]
F-268,xnz,P-84,déeg,,bewässern,massenbach1962[155]
F-1372,fia,P-323,deen,,mir geben,reinisch1879[25]
F-1370,xnz,P-323,déen,,mir etwas geben,massenbach1962[155]
F-1371,dgl,P-323,déen,,to give (to the speaker),armbruster1965[47]
F-257,fia,P-83,deg,,gebunden sein,khalil1996a[35]
F-263,fia,P-84,deg,,"binden, ankleiden, satteln",reinisch1879[25]
F-264,xnz,P-84,deg,,"bedecken, beladen, satteln, sich bekleiden",massenbach1962[155]
F-265,dgl,P-84,dég,,"cover one's loins, cognate with dig, dēg, dug, tag",armbruster1965[46]
F-256,onw,P-83,"deg, dig",,to be bound,OND[42]
F-266,onw,P-84,dej,,"to surpass, overflow",OND[43]
F-261,onw,P-84,dekk-igir,,to conceal,OND[42]
F-1369,onw,P-323,"den, din",,to give (to me/us),OND[42]
F-1839,xnz,P-428,des,,"Fett, ausgelassene Butter",massenbach1962[156]
F-269,onw,P-428,des,,"crop, abundance?",OND[43]
F-1838,dgl,P-428,dés,,"fatty part of milk, butter; vegetable oil",armbruster1965[49]
F-278,fia,P-85,dés(i),,"grün, blau",khalil1996a[39]
F-270,onw,P-85,dess,,green,OND[43]
F-272,dgl,P-85,dess,,"unripe, uncooked, raw",armbruster1965[49]
F-273,xnz,P-85,desse,,"grün, blau, frisch, roh",massenbach1962[156]
F-271,dgl,P-85,désse,,"green, light blue, crop, vegetation",armbruster1965[49]
F-274,onw,P-86,"di, dei, diei",,to die,OND[44]
F-1365,dgl,P-321,dibit,,,
F-283,onw,P-87,"diei, die, deie",,many,OND[45]
F-279,onw,P-87,dig,,many,OND[45]
F-259,dgl,P-83,díg,,to get bound (by a bet),armbruster1965[50]
F-286,onw,P-89,dig-ir,,depth,OND[45]
F-287,dgl,P-89,díg-ir,,to fall,armbruster1965[51]
F-288,xnz,P-89,díg-ir,,fallen,massenbach1962[157]
F-280,xnz,P-87,dig-rii,,viel,massenbach1962[157]
F-258,xnz,P-83,dig(dig),,binden,massenbach1962[156]
F-1799,fia,P-87,dígid,,vil,reinisch1879[27]
F-1800,dgl,P-87,dígri,,"great in quantity, number",armbruster1965[51]
F-275,fia,P-86,dii,,sterben; ausgehen,khalil1996a[34]
F-276,xnz,P-86,díi,,"sterben, erlöschen",massenbach1962[156]
F-277,dgl,P-86,díi,,"to die, be extinguished",armbruster1965[49]
F-284,fia,P-87,dii(i),,"viel, lange (Zeit)",khalil1996a[34]
F-282,fia,P-87,diig-id,,"Veilheit, Häufigkeit, Menge",khalil1996a[34]
F-2539,fia,P-87,diiki,,"Veilheit, Häufigkeit, Menge",khalil1996a[34]
F-2141,fia,P-91,diime,,zehn,reinisch1879[27]
F-1965,fia,P-400,diingi,,"krieg, vernichtung, pre-Nubian?",reinisch1879[27]
F-2003,fia,P-461,diis,,blut,reinisch1879[27]
F-2042,fia,P-90,dij,,fünf,reinisch1879[27]
F-290,onw,P-90,dij,,five,OND[46]
F-291,dgl,P-90,dij,,five,armbruster1965[52]
F-292,xnz,P-90,dij,,fünf,massenbach1962[157]
F-285,onw,P-87,"dikit, digitt",,multitude,OND[45]
F-1756,xnz,P-413,dilti,,"Haar, Augenbraue, Wimper",massenbach1962[157]
F-1755,dgl,P-413,dílti,,"hair, fur, feathers",armbruster1965[52]
F-2193,fia,P-91,dime,,zehn,khalil1996a[37]
F-293,onw,P-91,dimed,,ten,OND[45]
F-294,dgl,P-91,dímin,,ten,armbruster1965[52]
F-295,xnz,P-91,dímin,,zehn,massenbach1962[157]
F-2621,onw,P-461,dis,,blood,OND[46]
F-1798,fia,P-87,díyi,,"gross, stark, vil",reinisch1879[28]
F-2172,onw,P-478,dol,,to gather,OND[50]
F-2169,fia,P-477,dól,,"lieben, begehren",khalil1996a[36]
F-2170,dgl,P-477,dól,,"to wish, love, want",armbruster1965[53]
F-2168,onw,P-477,doll,,"to wish, want, need (pass.)",OND[50]
F-1350,xnz,P-317,dolli,,"tief, Vertiefung, Grube",massenbach1962[158]
F-1349,dgl,P-317,dólli,,deep,armbruster1965[54]
F-2173,fia,P-478,dool,,"sammeln, auflesen",khalil1996a[36]
F-2358,onw,P-492,"doum(m), dimm, domm",,"to take, hand over",OND[54]
F-2304,onw,P-387,douŋ,,blind,OND[56]
F-1651,xnz,P-387,"dúgur, dúngur",,blind,massenbach1962[158]
F-1664,xnz,P-390,dúgus,,Darm,massenbach1962[158]
F-1661,dgl,P-390,"dúgus, dúŋus",,"intestine, gut, entrails",armbruster1965[55]
F-1348,fia,P-317,dulli,,,
F-1768,xnz,P-416,dullo,,"schwer, schwierig",massenbach1962[159]
F-1767,dgl,P-416,dúllo,,"heavy, oppressive, dull, difficult",armbruster1965[56]
F-2359,fia,P-492,dum,,"nehmen, erfassen",khalil1996a[37]
F-1652,fia,P-387,dúngi,,blind,reinisch1879[30]
F-1650,dgl,P-387,dúŋgur,,blind,armbruster1965[56]
F-1176,dgl,P-528,dúru,,"aged, old",armbruster1965[57]
F-1180,xnz,P-528,dúru,,alt,massenbach1962[159]
F-244,dgl,P-79,dúul,,"great, large, big",armbruster1965[55]
F-245,xnz,P-79,dúul,,"groß, alt",massenbach1962[159]
F-1178,dgl,P-528,dúur,,"to reach, attain",armbruster1965[56]
F-1179,xnz,P-528,dúur,,erreichen,massenbach1962[159]
F-2698,fia,P-528,duw(i),,"Greis, alte Frau",khalil1996a[40]
F-455,xnz,P-121,e,,sein,massenbach1962[159]
F-454,dgl,P-121,é,,to be,armbruster1965[58]
F-2957,pnu,P-205,"E+mei *maaɲ, sg. miɲ-di < *maɲ-ti",,,rilly2010[no. 131]
F-1804,xnz,P-423,ed,,heiraten,massenbach1962[160]
F-524,dgl,P-134,ed,,to take in marriage,armbruster1965[59]
F-525,xnz,P-134,ed,,nehmen,massenbach1962[160]
F-526,fia,P-134,ed,,"nemen, heiraten",reinisch1879[32]
F-1802,dgl,P-423,éd,,"to take in marriage, marry",armbruster1965[59]
F-542,mei,P-137,èd,,man,werner1993[85]
F-1803,fia,P-423,"ed, edd",,heiraten,reinisch1879[32]
F-2116,brk,P-434,eddi,,rope,thelwall1977[205]
F-477,mei,P-125,édédí,,sister's son,werner1993[86]
F-2165,brk,P-128,edi,,you (sg),thelwall1977[208]
F-1465,mei,P-336,èebáhèm,,to wash,werner1993[85]
F-2324,mei,P-336,èebáhèm,,to wash,werner1993[85]
F-2151,brk,P-454,eede,,urine,thelwall1977[207]
F-652,mei,P-162,èejí,,four,werner1993[86]
F-2160,brk,P-7,eele,,white,thelwall1977[207]
F-1918,mei,P-447,èemí,,"tail, behind",werner1993[162]
F-2162,brk,P-123,een,,woman,thelwall1977[208]
F-464,xnz,P-123,éen,,"Frau, Mutter",massenbach1962[161]
F-466,mei,P-123,éen,,mother,werner1993[87]
F-392,mei,P-107,éen-ící,,"brother, uncertain?",werner1993[87]
F-465,dgl,P-123,éen; pl. éenci,,"woman, wife",armbruster1965[65]
F-463,dgl,P-123,éen; pl. éeni,,mother,armbruster1965[64]
F-1795,mei,P-422,éenyé,,"many, much",werner1993[88]
F-473,dgl,P-125,éeŋ-kegid,,"maternal aunt, mother's sister",armbruster1965[65]
F-2104,brk,P-11,eer,,new,thelwall1977[204]
F-1823,mei,P-426,éer,,neck,werner1993[88]
F-1827,dgl,P-11,éer,,"new, fresh",armbruster1965[65]
F-1829,xnz,P-11,éer,,neu,massenbach1962[161]
F-501,dgl,P-129,éer,,"to fertilize, impregnate (palm tree)",armbruster1965[66]
F-502,xnz,P-129,éer,,die Palme befruchten,massenbach1962[161]
F-935,mei,P-225,éer,,thirst,werner1993[88]
F-2538,mei,P-160,éerhèm,,"to climb, hop in dance",werner1993[88]
F-374,dgl,P-104,ées,,early afternoon,armbruster1965[66]
F-375,xnz,P-104,ées,,"Hitze, Mittag",massenbach1962[162]
F-1630,xnz,P-383,éeš,,rülpsen,massenbach1962[162]
F-1631,fia,P-383,éeš,,rülpsen < Ar.?,reinisch1879[27]
F-376,mei,P-104,èes,,"heat of the day, noon",werner1993[88]
F-1629,dgl,P-383,éeše,,to belch,armbruster1965[67]
F-471,mei,P-124,éeshí,,sister,werner1993[89]
F-1463,dgl,P-336,éeu,,to wash,armbruster1965[68]
F-1919,dgl,P-447,éeu,,tail,armbruster1965[67]
F-347,dgl,P-97,éeu,,to send,armbruster1965[68]
F-1464,xnz,P-336,éew,,"waschen, abwaschen",massenbach1962[162]
F-1920,xnz,P-447,éew,,"Schwanz, hinterer Saum des Gewandes",massenbach1962[162]
F-342,xnz,P-97,éew,,ansagen,massenbach1962[163]
F-1824,dgl,P-426,éeyye,,neck,armbruster1965[64]
F-532,xnz,P-136,éged,,(weibliche) Schaf,massenbach1962[160]
F-533,dgl,P-136,éged,,sheep,armbruster1965[63]
F-530,xnz,P-135,egedii,,Kessel,massenbach1962[160]
F-426,fia,P-113,eget,,nähe,reinisch1879[33]
F-529,onw,P-135,egeti,,kettle,OND[56]
F-423,dgl,P-113,egetti,,"nearness, near",armbruster1965[63]
F-2180,mei,P-162,ēgi,,four,macmichael1918[51]
F-2256,brk,P-40,ēgi,,water,macmichael1920[201]
F-2365,onw,P-133,egid,,to ask,OND[56]
F-2063,brk,P-136,"egidi, pl. ɛɛge",,goat,thelwall1977[202]
F-399,onw,P-109,"ei-ar, ei-er",,to know,OND[64]
F-487,onw,P-127,ei-gir,,to hide,OND[65]
F-403,onw,P-110,"ei, e",,hand,OND[63]
F-441,onw,P-118,ei(l),,to say,OND[68]
F-432,onw,P-115,"eidñ, ēdñ",,to keep,OND[66]
F-428,onw,P-114,"eig-ir, ek",,to tell,OND[65]
F-415,onw,P-112,"eig, eik, eg",,fire,OND[64]
F-421,onw,P-113,"eig, eik(k)",,near,OND[64]
F-427,onw,P-113,eik-ir,,near,OND[65]
F-436,onw,P-116,"eikk, ēkk, ekk, irk",,"to lead, bring, move, direct, instruct",OND[66]
F-438,onw,P-117,"eil; pl. eilēu, ēlwi, eiliou",,woman,OND[68]
F-443,onw,P-119,"eille, elle",,wheat,OND[69]
F-447,onw,P-141,eimil,,"millet?, pre-Nubian",OND[69]
F-2219,brk,P-123,ein,,woman,macmichael1920[201]
F-457,onw,P-122,ein,,this,OND[70]
F-453,onw,P-121,"ein, en",,to be,OND[69]
F-462,onw,P-123,"ein, en",,mother,OND[72]
F-556,onw,P-422,eiɲ-itt,,wealth,OND[82]
F-478,onw,P-126,"eiono, eiōno",,right,OND[72]
F-493,onw,P-128,eir,,you (sg.),OND[73]
F-500,onw,P-129,eir,,to sow,OND[75]
F-511,onw,P-131,"eirkeis, irkis",,forty,OND[75]
F-2476,onw,P-509,"eiskitt, pl. iskre",,suppliant,OND[77]
F-545,onw,P-123,eit-en,,"married woman, wife",OND[80]
F-548,onw,P-117,eit-en,,"married woman, wife",OND[80]
F-523,onw,P-134,"eit, et",,to take. receive,OND[78]
F-537,onw,P-137,"eit, pl. ei",,"man, person",OND[80]
F-557,onw,P-141,eiw(i),,"wheat, grain",OND[82]
F-2157,brk,P-40,eɟi,,water,thelwall1977[207]
F-1951,fia,P-454,eki,,bei seite gehen um eine notdruft zu verrichten,reinisch1879[33]
F-383,mei,P-106,ékk-íhèm,,"to can, to be able, to overcome",werner1993[86]
F-1950,dgl,P-454,ékk(i),,to urinate,armbruster1965[64]
F-2674,mei,P-527,èkkèndí,,mouse,werner1993[86]
F-2155,xnz,P-454,ekki,,harnen,massenbach1962[160]
F-437,fia,P-116,ekki,,"bringen, holen, füren",reinisch1879[34]
F-531,onw,P-136,ektou,,sheep,Attiri[11.4]
F-2707,dgl,P-529,el,,"to find, obtain, get",armbruster1965[64]
F-2708,xnz,P-529,el,,finden,massenbach1962[160]
F-2709,fia,P-529,el,,"finden, bekommen",khalil1996a[42]
F-310,onw,P-93,el,,now,OND[56]
F-317,dgl,P-93,él-gon,,"yet, still; not yet",armbruster1965[64]
F-314,xnz,P-93,el-góon,,noch nicht,massenbach1962[161]
F-2329,mei,P-210,èl-ìccì,,"nice, beautiful",werner1993[87]
F-316,xnz,P-93,el-óngu,,heute,massenbach1962[161]
F-315,xnz,P-93,el-óon,,"nun, jetzt",massenbach1962[161]
F-2706,onw,P-529,"el, eil",,"to find, obtain",OND[56]
F-2589,mei,P-93,èlássárá,,just now,werner1993[156]
F-2590,mei,P-93,èlássér,,immediately,werner1993[156]
F-311,onw,P-93,elē,,today,OND[57]
F-312,mei,P-93,èlè,,now,werner1993[156]
F-2233,brk,P-7,ēlei,,white,macmichael1920[207]
F-2500,dgl,P-345,élew,,"to rinse, wash out",armbruster1965[64]
F-2710,mei,P-529,élhèm,,to find,werner1993[87]
F-2347,dgl,P-491,"elim, elum",,crocodile,armbruster1965[64]
F-2705,brk,P-529,"ell, el",,to see,macmichael1920
F-2591,mei,P-93,èllàasí,,slowly,werner1993[156]
F-313,onw,P-93,elle,,time,OND[56]
F-2242,brk,P-29,embābōn,,father,macmichael1920[199]
F-2278,brk,P-482,embābunti,,paternal uncle,macmichael1920[200]
F-334,onw,P-94,emet,,salt?,OND[58]
F-335,fia,P-94,"emiid, imiid, imiit",,Salz,khalil1996a[46]
F-2293,brk,P-483,emunyi,,back,macmichael1920[205]
F-2237,brk,P-310,ēn-erei,,my name,macmichael1918[52]
F-468,onw,P-124,"en-ist, en-est",,sister,OND[72]
F-336,onw,P-95,"en(n), ein, ing, ink",,"to take, bring, raise",OND[59]
F-2295,brk,P-0,enagul,,mouth,macmichael1920[206]
F-2534,dgl,P-120,énde,,bulrush millet,armbruster1965[65]
F-2297,brk,P-110,enesi,,hand,macmichael1920[206]
F-1913,mei,P-41,"èngì, èngè",,"sweet, delicious",werner1993[88]
F-2652,onw,P-125,"enisti, enesti",,sister,OND[72]
F-346,fia,P-95,enn,,"aufheben, tragen",reinisch1879[35]
F-2292,brk,P-388,enn-ēlei,,body,macmichael1920[205]
F-396,onw,P-95,"eññ, iññ",,"to take, suffer",OND[62]
F-2235,brk,P-123,ennon,,mother,macmichael1920[198]
F-555,xnz,P-422,énye,,sich füllen,massenbach1962[161]
F-389,fia,P-358,eŋ-gā,,bruder (son of the mother),reinisch1879[35]
F-388,onw,P-358,eŋ-ga(l),,brother (son of the mother),OND[62]
F-2577,mei,P-98,éŋéràhèm,,to fear,werner1993[88]
F-363,onw,P-101,er,,we (incl.),OND[60]
F-495,xnz,P-128,er,,du,massenbach1962[161]
F-494,dgl,P-128,ér,,you (sg.),armbruster1965[65]
F-390,mei,P-107,èr-kà,,elder brother/sister,werner1993[88]
F-2546,mei,P-520,èrcéndí,,navel,werner1993[88]
F-2535,xnz,P-120,erdée,,dukhn,massenbach1962[161]
F-369,onw,P-102,erg,,to follow,OND[61]
F-370,fia,P-102,erg,,"nachgehen, nachfolgen",reinisch1879[36]
F-2654,xnz,P-225,"érid, erdid",,Durst,massenbach1962[161]
F-371,onw,P-103,"erk, irk",,village,OND[61]
F-1820,dgl,P-310,érr(i),,name,armbruster1965[66]
F-1821,xnz,P-310,erri,,Name,massenbach1962[161]
F-1663,dgl,P-391,ért(i),,"mamma, teat",armbruster1965[66]
F-1665,xnz,P-391,"erti, irti",,"Mutterbrust, Euter",massenbach1962[162]
F-30,xnz,P-11,ēru,,new,zyhlarz1928a[171]
F-990,fia,P-40,es-kaale,,wasserad,reinisch1879[37]
F-373,onw,P-104,ese,,heat,OND[61]
F-377,onw,P-105,ese,,country,OND[61]
F-378,xnz,P-105,"ešei, išei",,"Dorf, Land, Wetter, das Nubierland",massenbach1962[162]
F-1832,mei,P-427,èsèngì,,nose,werner1993[88]
F-2247,brk,P-424,eshi,,milk,macmichael1920[204]
F-122,fia,P-40,ési,,"water, soup",khalil1996a[43]
F-379,onw,P-106,esk,,to conquer,OND[61]
F-382,fia,P-106,esk,,"können, vermögen, im stande sein",reinisch1879[37]
F-381,dgl,P-106,"esk(i), isk(i)",,to be able to,armbruster1965[67]
F-380,xnz,P-106,eske,,können,massenbach1962[162]
F-517,xnz,P-132,esked,,"trockene, lose Erde, Staub",massenbach1962[162]
F-516,dgl,P-132,ésked,,"loose earth, dust",armbruster1965[66]
F-119,onw,P-40,essi,,water,OND[61]
F-121,xnz,P-40,essi,,Wasser,massenbach1962[162]
F-124,onw,P-40,essi,,water,OND[62]
F-2653,fia,P-125,essi,,Schwester,khalil1996a[44]
F-469,dgl,P-124,essi,,sister,armbruster1965[67]
F-470,fia,P-124,essi,,schwester,reinisch1879[37]
F-1414,mei,P-331,éssí,,"dust, storm, sandstorm, wind",werner1993[89]
F-514,mei,P-132,éssí,,"dust, storm, sandstorm, wind ?",werner1993[89]
F-120,dgl,P-40,éssi < *ést(i) < *ást(a),,water,armbruster1965[67]
F-2072,brk,P-110,essi-gafai,,hand (arm + neck),thelwall1977[202]
F-936,dgl,P-225,essin-éer,,thirst (of water),armbruster1965[67]
F-2101,brk,P-424,eʃʃi,,milk,thelwall1977[204]
F-2262,mei,P-137,"ett, pl. irr",,man,macmichael1918[53]
F-2356,mei,P-206,èttìhêm,,to cut,werner1993[89]
F-338,onw,P-96,eu,,to pasture,OND[59]
F-341,onw,P-97,eu,,to proclaim?,OND[59]
F-486,onw,P-127,ēu-gir,,to hide,OND[72]
F-348,onw,P-98,eu(ou),,to fear,OND[59]
F-352,onw,P-99,euar,,"to make a libation, sacrifice",OND[60]
F-360,onw,P-100,eue-j-kane,,fairness vel sim.,OND[60]
F-2638,fia,P-129,ewir,,"säen, pflanzen",khalil1996a[44]
F-1062,dgl,P-252,éwir,,to exhange,armbruster1965[68]
F-1063,xnz,P-252,éwir,,"tauchen, Geld wechseln",massenbach1962[162]
F-353,xnz,P-99,éwir,,"säen, die Feldarbeit tun",massenbach1962[162]
F-361,dgl,P-100,éwir,,to exhange,armbruster1965[68]
F-362,xnz,P-100,éwir,,"tauschen, Geld wechseln",massenbach1962[162]
F-1825,xnz,P-426,éyye,,Hals,massenbach1962[162]
F-2320,mei,P-219,ə̀ccì,,donkey,werner1993[140]
F-1568,mei,P-367,ə̀d,,house,werner1993[140]
F-2152,mei,P-454,"ə̀ddə̀dí, ə̀ddə́r",,urine,werner1993[141]
F-1949,mei,P-454,ə̀ddə́rhèm,,to urinate ?,werner1993[163]
F-1018,mei,P-241,ə̀ddə̀rhêm,,to jump,werner1993[141]
F-1104,mei,P-258,ə́ddí,,two,werner1993[162]
F-1686,mei,P-221,ə́ə,,"chest, breast",werner1993[140]
F-386,mei,P-40,ə́əcí,,water,werner1993[164]
F-2619,mei,P-432,ə́əd,,"riverbed, valley",werner1993[141]
F-2533,mei,P-120,ə́ədí,,"dukhn, millet",werner1993[141]
F-2659,mei,P-141,ə́ədí,,"dukhn, millet",werner1993[141]
F-604,mei,P-150,ə́ədí,,knife,werner1993[141]
F-1657,mei,P-389,ə̀ədí,,bone,werner1993[141]
F-1492,mei,P-350,ə̀əhêm,,to go,werner1993[141]
F-1704,mei,P-400,ə́əjí,,"war, battle, fight",werner1993[141]
F-1705,mei,P-400,ə́əjìhèm,,to fight,werner1993[141]
F-2412,mei,P-23,ə́ərhèm,,to do,werner1993[142]
F-550,mei,P-138,ə̀ət-íhèm,,"to send, throw",werner1993[81]
F-535,abu,P-136,"ə̀gə̀d̪ə̀t̪í, pl. ə̀gét̪ɪ́nd̪í",,sheep,jakobiA[no. 287]
F-424,mei,P-113,ə́gə́dí,,relative,werner1993[141]
F-425,mei,P-113,ə́gə́dín,,near,werner1993[141]
F-2388,mei,P-496,ə̀ggə́,,"stable, animal enclosure",werner1993[141]
F-2429,mei,P-501,ə́ggə́-tìrhêm,,"to win over, overpower",werner1993[141]
F-2622,mei,P-461,ə̀ggə́r,,blood,werner1993[141]
F-2480,mei,P-509,ə̀kkə̀əndí,,guest,werner1993[141]
F-589,mei,P-147,ə̀l-hêm,,to eat,werner1993[141]
F-1089,mei,P-256,ə́nngə́l,,moon,werner1993[142]
F-2396,mei,P-74,ə̀nngìhêm,,to hear,werner1993[142]
F-2335,kko,P-487,ə̀r,,to burn up,jakobiA[no. 211]
F-1953,mei,P-455,ə́rédí,,veins,werner1993[164]
F-1819,mei,P-310,ə́rí,,name,werner1993[142]
F-595,mei,P-148,ə̀ríi,,north,werner1993[142]
F-484,mei,P-126,"ə́sə́ngèl, ə́sə́ngòl, ə́síngèl",,right side,werner1993[142]
F-408,mei,P-110,ə̀ssì,,"hand, arm",werner1993[142]
F-384,mei,P-8,ə́y,,I,werner1993[143]
F-2374,kko,P-378,ɛ̂ː-g,,"to speak, talk",jakobiA[no. 139]
F-2373,kas,P-378,ɛ́ː-k,,"to speak, talk",jakobiA[no. 139]
F-1075,abu,P-93,ɛ̂ːl,,today,jakobiA[no. 527]
F-1986,brk,P-391,ɛrti,,belly (outside),thelwall1977[199]
F-2132,brk,P-474,faale,,summer,thelwall1977[206]
F-1174,fia,P-274,faar,,alt (von gegenständen),reinisch1879[40]
F-2305,fia,P-272,faaw,,"getötet, ausgelöscht, vernichtet werden",khalil1996a[117]
F-1168,fia,P-273,fab,,vater,reinisch1879[38]
F-2039,brk,P-273,fabi,,father,thelwall1977[201]
F-1132,fia,P-265,fag,,in zwei hälften teilen,reinisch1879[39]
F-1133,fia,P-265,fagátti,,hälfte,reinisch1879[39]
F-2136,fia,P-474,fágon,,sommer,reinisch1879[39]
F-1157,fia,P-271,faj,,schreiben,reinisch1879[39]
F-2067,fia,P-468,fak,,"zige, wolle, haar, pre-Nubian?",reinisch1879[39]
F-2662,fia,P-281,fal,,"hinausgehen, aufgehen",khalil1996a[114]
F-1153,fia,P-270,falee,,"die wüste, steppe",reinisch1879[39]
F-2407,fia,P-498,faññ,,hungern,khalil1996a[118]
F-1216,fia,P-285,far,,,
F-1139,fia,P-266,farañ,,"schwert, säbel, pre-Nubian",reinisch1879[40]
F-1182,fia,P-275,fárki,,"wasserrinne im felde, zum zweck der bewasserung, wassercanal",reinisch1879[40]
F-1141,fia,P-267,farññ,,"übersteigen, überschreiten, pre-Nubian?",khalil1996a[116]
F-1184,fia,P-276,farre,,,
F-1186,fia,P-277,fase,,,
F-1158,fia,P-271,fay,,schreiden,reinisch1879[41]
F-1780,fia,P-419,fay,,"töten, auslöschen",reinisch1879[41]
F-1207,fia,P-283,"fénti, fétti",,dattel,reinisch1879[42]
F-1902,fia,P-444,fesa,,community gathering,osman1978[58n1]
F-1199,fia,P-281,fey,,"aufgehen, von sonne, mond, sternen; von korn, gewächsen",reinisch1879[42]
F-1229,fia,P-289,ficci,,Vogel und Fledermausdreck,hoffman1986[64]
F-1211,fia,P-284,fii,,"sein, ligen, bleiben (stative)",reinisch1879[42]
F-1231,fia,P-290,fíji,,"breit, weit",reinisch1879[43]
F-1219,fia,P-286,fik,,erwachen vom schlafe,reinisch1879[43]
F-2093,brk,P-419,filaale,,to kill ?,thelwall1977[203]
F-2520,brk,P-287,filak-filak-om,,lightning,thelwall1977[203]
F-1149,fia,P-269,"file, fele",,Zwiebel ?,khalil1996a[114]
F-2115,brk,P-431,filgiti,,rib,thelwall1977[205]
F-1851,fia,P-431,fíli,,"seite, hüfte",reinisch1879[43]
F-1225,fia,P-287,fílit,,"blizen, wetternleuchten",reinisch1879[43]
F-2422,fia,P-500,firr,,"heil, gesund werden",khalil1996a[115]
F-1227,fia,P-288,físsi,,"sprizen, sprengen",reinisch1879[44]
F-2721,brk,P-531,fíʃʃì,,liver,thelwall1977[203]
F-1240,fia,P-292,fog,,"giessen, fliessen, lassen fallen",reinisch1879[44]
